"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Witt Jr., Bobby",677951,20.03980919116122,20.03980919116122,18.332704709323455,-0.006230568995609174,1.713335050833375,,,,,4020,0,0,0,0,4020,0,0,0
"Winn, Masyn",691026,16.83741789691571,16.83741789691571,15.994649792983186,-0.23486910590732482,1.0776372098398528,,,,,3323,0,0,0,0,3323,0,0,0
"Allen, Nick",669397,12.119788413549038,12.119788413549038,12.496536150870794,0.07858215876055619,-0.4553298960823124,,,,,3137,0,0,0,0,3137,0,0,0
"Turner, Trea",607208,10.544321202231739,10.544321202231739,12.070776328734055,0.48643968930329584,-2.012894815805618,,,,,3649,0,0,0,0,3649,0,0,0
"Ortiz, Joey",687401,10.253523393214744,10.253523393214744,9.06129966975137,0.06258665071639545,1.129637072746976,,,,,3653,0,0,0,0,3653,0,0,0
"Bogaerts, Xander",593428,6.607752630682811,6.607752630682811,5.392221758826153,0.25923071048111873,0.9563001613755384,,,,,3250,0,0,0,0,3250,0,0,0
"Peña, Jeremy",665161,5.986845364792312,5.986845364792312,6.033274390214594,0.4251603469775594,-0.47158937239984045,,,,,3185,0,0,0,0,3185,0,0,0
"Dubón, Mauricio",643289,5.7401614591832715,5.7401614591832715,6.293672041046991,0.03643728567035959,-0.5899478675340789,,,,,619,0,0,0,0,619,0,0,0
"Montgomery, Colson",695657,5.498145308693714,5.498145308693714,4.616856821685886,-0.12688386265684234,1.0081723496646715,,,,,1508,0,0,0,0,1508,0,0,0
"Adames, Willy",642715,4.296333497021122,4.296333497021122,3.8704171455957015,0.33692381264444277,0.08899253878097672,,,,,4169,0,0,0,0,4169,0,0,0
"Caballero, José",676609,3.9608100102529478,3.9608100102529478,3.392092865964062,-0.15045390834851965,0.7191710526374053,,,,,1017,0,0,0,0,1017,0,0,0
"Seager, Corey",608369,3.650912203926869,3.650912203926869,2.8223564294626002,0.02004221632042054,0.8085135581438465,,,,,2484,0,0,0,0,2484,0,0,0
"Tovar, Ezequiel",678662,3.4479863635347456,3.4479863635347456,2.372552181712822,0.1785017833544611,0.8969323984674623,,,,,2402,0,0,0,0,2402,0,0,0
"Betts, Mookie",605141,3.3980005724389657,3.3980005724389657,3.393173249476888,0.19897809180834353,-0.1941507688462655,,,,,3834,0,0,0,0,3834,0,0,0
"Perdomo, Geraldo",672695,3.310340641190389,3.310340641190389,3.4381871884056956,-0.013183145473450461,-0.11466340174185516,,,,,4275,0,0,0,0,4275,0,0,0
"Hernaiz, Darell",687231,3.243394398524249,3.243394398524249,3.0456842273488225,,0.19771017117542633,,,,,598,0,0,0,0,598,0,0,0
"Lindor, Francisco",596019,2.9076448446479763,2.9076448446479763,3.9368871077275487,0.10182116988179415,-1.1310634329613678,,,,,4122,0,0,0,0,4122,0,0,0
"Meidroth, Chase",805367,2.848353267238758,2.848353267238758,1.8805816220992329,0.012372207594575869,0.9553994375449502,,,,,1707,0,0,0,0,1707,0,0,0
"Capra, Vinny",681962,2.5836529692472188,2.5836529692472188,1.7072904482745919,,0.8763625209726259,,,,,279,0,0,0,0,279,0,0,0
"Swanson, Dansby",621020,2.440334555944108,2.440334555944108,1.209540657734115,0.2503873668494905,0.9804065313605039,,,,,4161,0,0,0,0,4161,0,0,0
"Lopez, Otto",672640,2.262699096589535,2.262699096589535,2.743528382201869,0.7825098786090975,-1.263339164221431,,,,,2870,0,0,0,0,2870,0,0,0
"Nuñez, Nasim",683083,2.0637602361050136,2.0637602361050136,1.94488346791996,-0.0610067622292608,0.17988353041431457,,,,,384,0,0,0,0,384,0,0,0
"Cronenworth, Jake",630105,1.9816494308787473,1.9816494308787473,1.9216623142494402,,0.05998711662930703,,,,,237,0,0,0,0,237,0,0,0
"Anderson, Tim",641313,1.9466706934019038,1.9466706934019038,1.5151638866073036,-0.0015052613830790567,0.43301206817767895,,,,,303,0,0,0,0,303,0,0,0
"Arias, Gabriel",672356,1.8162217644935723,1.8162217644935723,2.4982864782608623,0.4375196239118725,-1.1195843376791617,,,,,2586,0,0,0,0,2586,0,0,0
"Newman, Kevin",621028,1.3088171004780924,1.3088171004780924,0.9994150632088595,,0.3094020372692329,,,,,270,0,0,0,0,270,0,0,0
"Clement, Ernie",676391,1.2122327631906764,1.2122327631906764,1.2422774153778957,0.0007889622380355234,-0.03083361442525505,,,,,510,0,0,0,0,510,0,0,0
"Iglesias, Jose",578428,1.163564640076694,1.163564640076694,1.8706304124783222,,-0.7070657724016282,,,,,662,0,0,0,0,662,0,0,0
"Hoerner, Nico",663538,1.1339794340186722,1.1339794340186722,1.070156490089098,,0.0638229439295742,,,,,111,0,0,0,0,111,0,0,0
"Schneemann, Daniel",682177,1.0998950002096468,1.0998950002096468,1.0439412564050394,,0.055953743804606965,,,,,162,0,0,0,0,162,0,0,0
"Sosa, Edmundo",624641,1.070026692065398,1.070026692065398,1.145783915834828,,-0.07575722376943012,,,,,378,0,0,0,0,378,0,0,0
"Saggese, Thomas",695336,0.9243896145836044,0.9243896145836044,2.654359000871969,0.005215107349690107,-1.7351844936380547,,,,,721,0,0,0,0,721,0,0,0
"Gonzales, Nick",693304,0.899333823294982,0.899333823294982,1.1368053449541577,,-0.23747152165917518,,,,,327,0,0,0,0,327,0,0,0
"Ahmed, Nick",605113,0.8756283306743501,0.8756283306743501,0.5756344794099908,0.059050002667031434,0.24094384859732793,,,,,84,0,0,0,0,84,0,0,0
"Duran, Ezequiel",677649,0.8743781712453552,0.8743781712453552,1.8010339787601906,-0.06396923183474044,-0.8626865756800951,,,,,452,0,0,0,0,452,0,0,0
"Monasterio, Andruw",655316,0.8451007486218105,0.8451007486218105,0.17164312791535627,,0.6734576207064541,,,,,603,0,0,0,0,603,0,0,0
"Fitzgerald, Ryan",680837,0.7495006909977233,0.7495006909977233,0.38269497661832064,,0.3668057143794029,,,,,144,0,0,0,0,144,0,0,0
"McLain, Matt",680574,0.6399434802782116,0.6399434802782116,-0.20715444272344463,0.9400698699305045,-0.09297194692884814,,,,,114,0,0,0,0,114,0,0,0
"Stott, Bryson",681082,0.6140759181792428,0.6140759181792428,0.6065363688020468,,0.007539549377196045,,,,,294,0,0,0,0,294,0,0,0
"Rojas, Miguel",500743,0.5959763336596308,0.5959763336596308,0.2120237226688814,0.21969876320915893,0.16425384778159083,,,,,351,0,0,0,0,351,0,0,0
"Walls, Taylor",670764,0.5616957604844486,0.5616957604844486,0.47992565130782916,0.19419916348826055,-0.11242905431164088,,,,,2162,0,0,0,0,2162,0,0,0
"Garcia, Maikel",672580,0.4966044580132735,0.4966044580132735,0.32857725278085215,,0.16802720523242148,,,,,266,0,0,0,0,266,0,0,0
"Ritter, Ryan",690022,0.49541146159447724,0.49541146159447724,0.8440636905679603,0.20830931236378472,-0.5569615413372678,,,,,794,0,0,0,0,794,0,0,0
"McKinstry, Zach",656716,0.46463968818211815,0.46463968818211815,-0.07357821171102996,0.3102012462508627,0.22801665364228568,,,,,744,0,0,0,0,744,0,0,0
"DeJong, Paul",657557,0.4541367559054579,0.4541367559054579,0.4427254627196615,,0.011411293185796367,,,,,204,0,0,0,0,204,0,0,0
"Gray, Tristan",656484,0.4427669606700896,0.4427669606700896,0.4690496415974822,,-0.02628268092739261,,,,,186,0,0,0,0,186,0,0,0
"Farmer, Kyle",571657,0.38691567114042785,0.38691567114042785,0.4214296763989996,,-0.034514005258571775,,,,,242,0,0,0,0,242,0,0,0
"Rivas, Leo",660844,0.3066894151336499,0.3066894151336499,0.5684678891265877,,-0.26177847399293785,,,,,117,0,0,0,0,117,0,0,0
"Trejo, Alan",676701,0.1508207014068601,0.1508207014068601,-0.25598165591076816,0.15135989717337064,0.2554424601442575,,,,,339,0,0,0,0,339,0,0,0
"Moore, Dylan",664238,0.019394019956845508,0.019394019956845508,-0.03267410680862773,,0.05206812676547325,,,,,111,0,0,0,0,111,0,0,0
"De La Cruz, Elly",682829,-0.03174245908524598,-0.03174245908524598,-2.3477691807349577,0.08919794569503178,2.2268287759546808,,,,,4146,0,0,0,0,4146,0,0,0
"Muncy, Max",691777,-0.045292610208179374,-0.045292610208179374,-0.43286739640893734,,0.3875747862007579,,,,,168,0,0,0,0,168,0,0,0
"Holliday, Jackson",702616,-0.16440690334033622,-0.16440690334033622,-0.16440690334033622,,0,,,,,171,0,0,0,0,171,0,0,0
"Donovan, Brendan",680977,-0.19921019984231636,-0.19921019984231636,-0.2713671198571161,,0.07215692001479984,,,,,123,0,0,0,0,123,0,0,0
"Barrero, José",676480,-0.20472180535919815,-0.20472180535919815,-0.27615061544812547,,0.07142881008892694,,,,,117,0,0,0,0,117,0,0,0
"Vázquez, Luis",676679,-0.2302650778817693,-0.2302650778817693,-0.4560275829929162,,0.22576250511114684,,,,,171,0,0,0,0,171,0,0,0
"Baldwin, Brooks",681460,-0.2486836472596416,-0.2486836472596416,-0.6038228294982918,,0.35513918223865015,,,,,129,0,0,0,0,129,0,0,0
"Triolo, Jared",669707,-0.33069360856016394,-0.33069360856016394,0.4025288736450893,0.010901980536837323,-0.7441244627420909,,,,,1166,0,0,0,0,1166,0,0,0
"Acuña, Luisangel",682668,-0.3307806261203661,-0.3307806261203661,-0.7046772554548627,,0.37389662933449663,,,,,108,0,0,0,0,108,0,0,0
"Giménez, Andrés",665926,-0.40804026017094464,-0.40804026017094464,0.32091823861166496,,-0.7289584987826092,,,,,357,0,0,0,0,357,0,0,0
"McCoy, Mason",669200,-0.5415303662977977,-0.5415303662977977,-0.34937491259512,,-0.19215545370267778,,,,,138,0,0,0,0,138,0,0,0
"Schuemann, Max",680474,-0.5532645968762265,-0.5532645968762265,0.391714091506037,,-0.9449786883822637,,,,,386,0,0,0,0,386,0,0,0
"Bruján, Vidal",660644,-0.6207315089672373,-0.6207315089672373,-0.1731126975782974,,-0.44761881138894044,,,,,129,0,0,0,0,129,0,0,0
"Acosta, Maximo",691185,-0.7122534498551221,-0.7122534498551221,-0.5365123548904476,,-0.1757410949646745,,,,,117,0,0,0,0,117,0,0,0
"Hamilton, David",666152,-0.7484179491072506,-0.7484179491072506,-0.5872110611149141,,-0.16120688799233635,,,,,207,0,0,0,0,207,0,0,0
"Peraza, Oswald",672724,-0.7486829676178096,-0.7486829676178096,-0.8357869724473427,-0.0013082607399925936,0.0884122655695258,,,,,198,0,0,0,0,198,0,0,0
"Amaya, Jacob",676070,-0.7697195566006024,-0.7697195566006024,-0.35571337310521567,,-0.41400618349538687,,,,,619,0,0,0,0,619,0,0,0
"Peguero, Liover",678894,-0.7766546254251198,-0.7766546254251198,-0.6296555057349085,0.000050864111594562366,-0.147049983801806,,,,,306,0,0,0,0,306,0,0,0
"Koss, Christian",683766,-0.8537743218379461,-0.8537743218379461,-1.0557172825815324,,0.20194296074358603,,,,,96,0,0,0,0,96,0,0,0
"Henderson, Gunnar",683002,-1.0705109713824115,-1.0705109713824115,-2.313764758739392,-0.025872350175222776,1.2691261375322078,,,,,3749,0,0,0,0,3749,0,0,0
"Lee, Brooks",686797,-1.0750085972975945,-1.0750085972975945,-0.9879577453420164,,-0.0870508519555771,,,,,1785,0,0,0,0,1785,0,0,0
"Williams, Luke",663897,-1.0862939073412896,-1.0862939073412896,-1.3428931473774273,0.13181794394870844,0.12478129608742904,,,,,190,0,0,0,0,190,0,0,0
"Castro, Willi",650489,-1.1983395641976595,-1.1983395641976595,-1.1983395641976595,,,,,,,78,0,0,0,0,78,0,0,0
"Sanoja, Javier",691594,-1.247191969361676,-1.247191969361676,-1.2081179702715592,,-0.03907399909011647,,,,,225,0,0,0,0,225,0,0,0
"Schunk, Aaron",668845,-1.2680843619207816,-1.2680843619207816,-1.109000781044716,,-0.15908358087606547,,,,,160,0,0,0,0,160,0,0,0
"Arcia, Orlando",606115,-1.388360404688579,-1.388360404688579,-1.8258798829569187,,0.43751947826833965,,,,,519,0,0,0,0,519,0,0,0
"Kim, Ha-Seong",673490,-1.445293612388846,-1.445293612388846,-1.9524715784786992,0.4677222609834771,0.03945570510637565,,,,,1083,0,0,0,0,1083,0,0,0
