"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abrams, CJ","682928","Nationals","2025","SS","-8",-11,-4,0,-6,0,-11,0,"75%","77%","-2%"
"Adames, Willy","642715","Giants","2025","SS","4",5,8,5,-8,0,3,2,"73%","72%","1%"
"Allen, Nick","669397","Braves","2025","SS","12",17,3,8,3,3,11,6,"77%","72%","5%"
"Amaya, Jacob","676070","White Sox","2025","SS","0",0,-1,0,0,0,-1,0,"75%","75%","0%"
"Arcia, Orlando","606115","---","2025","SS","-2",-2,1,0,-4,0,0,-2,"66%","69%","-3%"
"Arias, Gabriel","672356","Guardians","2025","SS","3",4,6,0,-3,0,-1,5,"76%","76%","0%"
"Betts, Mookie","605141","Dodgers","2025","SS","4",6,6,3,-1,-2,4,2,"78%","77%","1%"
"Bichette, Bo","666182","Blue Jays","2025","SS","-10",-13,-4,-3,-5,-1,-12,-1,"69%","72%","-3%"
"Bogaerts, Xander","593428","Padres","2025","SS","6",8,4,5,0,-1,4,3,"77%","75%","2%"
"Báez, Javier","595879","Tigers","2025","SS","0",0,-1,1,0,1,-1,1,"77%","77%","0%"
"Caballero, José","676609","---","2025","SS","3",5,2,1,1,0,4,0,"75%","73%","2%"
"Clement, Ernie","676391","Blue Jays","2025","3B","1",2,1,0,0,1,0,1,"71%","69%","2%"
"Correa, Carlos","621043","---","2025","SS","-1",-2,1,-5,2,-1,0,-2,"70%","71%","-1%"
"Crawford, J.P.","641487","Mariners","2025","SS","-10",-13,-4,-5,-3,-1,-5,-8,"73%","75%","-2%"
"De La Cruz, Elly","682829","Reds","2025","SS","-2",-3,-2,2,-3,0,-5,2,"77%","77%","0%"
"Dubón, Mauricio","643289","Astros","2025","2B","6",8,1,4,3,1,7,1,"77%","67%","10%"
"Duran, Ezequiel","677649","Rangers","2025","SS","2",2,1,1,1,-1,3,0,"76%","72%","4%"
"Edwards, Xavier","669364","Marlins","2025","2B","-5",-7,-5,-2,-1,0,-7,0,"69%","74%","-5%"
"Giménez, Andrés","665926","Blue Jays","2025","2B","1",2,3,1,-3,0,-1,3,"69%","68%","1%"
"Henderson, Gunnar","683002","Orioles","2025","SS","-2",-3,-3,4,-4,-1,-4,1,"73%","74%","-1%"
"Hernaiz, Darell","687231","Athletics","2025","3B","3",4,1,2,2,0,3,1,"77%","70%","7%"
"Iglesias, Jose","578428","Padres","2025","2B","2",2,1,2,0,0,1,1,"76%","73%","3%"
"Kim, Ha-Seong","673490","---","2025","SS","-2",-3,-1,1,-3,0,-2,0,"69%","71%","-2%"
"Kiner-Falefa, Isiah","643396","---","2025","SS","-2",-3,-4,-1,1,1,0,-3,"76%","76%","0%"
"Lee, Brooks","686797","Twins","2025","SS","-1",-1,-1,0,0,-1,-2,1,"68%","69%","-1%"
"Lindor, Francisco","596019","Mets","2025","SS","4",5,10,-5,2,-1,2,4,"74%","74%","0%"
"Lopez, Otto","672640","Marlins","2025","SS","3",4,0,2,0,0,0,3,"75%","74%","1%"
"McKinstry, Zach","656716","Tigers","2025","3B","0",0,1,1,-3,1,0,0,"81%","81%","0%"
"Meidroth, Chase","805367","White Sox","2025","SS","2",3,1,3,0,-1,1,2,"78%","77%","1%"
"Monasterio, Andruw","655316","Brewers","2025","SS","0",0,1,1,-2,0,-2,2,"74%","74%","0%"
"Montgomery, Colson","695657","White Sox","2025","SS","5",6,2,5,-1,0,5,1,"78%","75%","3%"
"Neto, Zach","687263","Angels","2025","SS","-6",-8,5,-3,-11,1,-7,0,"73%","74%","-1%"
"Newman, Kevin","621028","Angels","2025","SS","1",1,0,2,-1,0,0,1,"74%","72%","2%"
"Nuñez, Nasim","683083","Nationals","2025","SS","2",3,1,2,-1,1,0,3,"76%","71%","5%"
"Ortiz, Joey","687401","Brewers","2025","SS","10",13,9,1,4,0,11,3,"74%","71%","3%"
"Perdomo, Geraldo","672695","D-backs","2025","SS","3",5,5,0,-1,0,4,0,"78%","77%","1%"
"Peña, Jeremy","665161","Astros","2025","SS","6",8,5,0,1,2,6,2,"79%","77%","2%"
"Ritter, Ryan","690022","Rockies","2025","SS","1",1,1,0,1,0,-1,2,"81%","80%","1%"
